Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Penalty_Wait,Truck_paths,Drone_paths,Truck_working_time,Drone_working_time
6.5.1,699.6657,699.6657,0.0,True,True,0.001,0.549,0.0,0.0,0.0,0.0,"[[[0, 2, 0]]]","[[[0, 6, 3, 0], [0, 1, 5, 4, 0]]]",[699.6657],[641.6064]
6.5.2,550.7225,550.7225,0.0,True,True,0.001,0.716,0.0,0.0,0.0,0.0,"[[[0, 6, 3, 1, 0]]]","[[[0, 2, 5, 4, 0]]]",[546.2518],[550.7225]
6.5.3,766.7834,766.7834,0.0,True,True,0.001,0.48,0.0,0.0,0.0,0.0,"[[[0, 4, 3, 0]]]","[[[0, 2, 1, 6, 0], [0, 5, 0]]]",[766.7834],[709.548]
6.5.4,579.9713,579.9713,-0.0,True,True,0.001,0.413,0.0,0.0,0.0,0.0,"[[[0, 6, 4, 1, 0]]]","[[[0, 3, 5, 2, 0]]]",[579.9713],[565.3328]
6.10.1,1078.7477,1078.7477,0.0,True,True,0.001,0.463,0.0,0.0,0.0,0.0,"[[[0, 3, 2, 0]]]","[[[0, 5, 4, 0], [0, 6, 1, 0]]]",[1058.9239],[1078.7477]
6.10.2,1232.5642,1232.5642,-0.0,True,True,0.001,0.523,0.0,0.0,0.0,0.0,"[[[0, 6, 1, 0]]]","[[[0, 4, 0], [0, 2, 3, 5, 0]]]",[1232.5642],[1180.739]
6.10.3,1230.0423,1295.786,5.3448,True,True,0.001,0.592,0.0,0.0,0.0,0.0,"[[[0, 1, 5, 0]]]","[[[0, 2, 4, 0], [0, 6, 0], [0, 3, 0]]]",[1295.786],[1293.9925]
6.10.4,997.8432,1012.3914,1.458,True,True,0.001,0.549,0.0,0.0,0.0,0.0,"[[[0, 4, 3, 2, 0]]]","[[[0, 6, 0], [0, 1, 5, 0]]]",[1012.3914],[995.6654]
6.20.1,4486.6813,4486.6813,-0.0,True,True,0.0,0.315,0.0,0.0,0.0,0.0,"[[[0, 2, 1, 3, 5, 0]]]","[[[0, 6, 4, 0]]]",[4486.6813],[519.6656]
6.20.2,4099.7879,4099.7879,0.0,True,True,0.0,0.38,0.0,0.0,0.0,0.0,"[[[0, 4, 3, 2, 0]]]","[[[0, 6, 0], [0, 1, 0], [0, 5, 0]]]",[4099.7879],[1970.6607]
6.20.3,6233.2145,5802.0354,-6.9174,True,True,0.0,0.342,0.0,0.0,0.0,0.0,"[[[0, 2, 5, 6, 3, 0]]]","[[[0, 1, 0], [0, 4, 0]]]",[5802.0354],[1185.3671]
6.20.4,6174.7861,5764.1332,-6.6505,True,True,0.0,0.331,0.0,0.0,0.0,0.0,"[[[0, 3, 4, 5, 2, 0]]]","[[[0, 1, 0], [0, 6, 0]]]",[5764.1332],[1084.0845]
10.5.1,1212.9465,1212.9465,0.0,True,True,0.001,1.179,0.0,0.0,0.0,0.0,"[[[0, 2, 4, 5, 3, 7, 0]]]","[[[0, 9, 0], [0, 8, 1, 10, 6, 0]]]",[1212.9465],[692.9655]
10.5.2,709.2037,709.2037,-0.0,True,True,0.001,2.856,0.0,0.0,0.0,0.0,"[[[0, 8, 2, 10, 0]]]","[[[0, 4, 3, 5, 1, 9, 0], [0, 7, 6, 0]]]",[688.4926],[709.2037]
10.5.3,775.6905,775.6905,0.0,True,True,0.003,3.554,0.0,0.0,0.0,0.0,"[[[0, 1, 10, 9, 4, 0]]]","[[[0, 5, 0], [0, 7, 8, 0], [0, 2, 6, 3, 0]]]",[712.1487],[775.6905]
10.5.4,745.4252,745.4252,0.0,True,True,0.003,4.972,0.0,0.0,0.0,0.0,"[[[0, 5, 8, 0]]]","[[[0, 2, 1, 9, 7, 10, 0], [0, 6, 4, 3, 0]]]",[634.7979],[745.4252]
10.10.1,1735.95,1798.7158,3.6156,True,True,0.005,3.53,0.0,0.0,0.0,0.0,"[[[0, 7, 4, 5, 1, 6, 0]]]","[[[0, 2, 0], [0, 9, 10, 0], [0, 8, 3, 0]]]",[1798.7158],[1771.0283]
10.10.2,2006.7277,2006.7277,-0.0,True,True,0.003,3.836,0.0,0.0,0.0,0.0,"[[[0, 2, 5, 0]]]","[[[0, 7, 0], [0, 9, 8, 6, 0], [0, 10, 1, 3, 4, 0]]]",[2006.7277],[1608.4887]
